timestamp;time_elapsed;heading;target_heading;depth;target_depth;speed_ms;trajectory_type;trajectory_params
1777645199.907;0.505;0.183;4.340;1.264;1.200;0.300;circle;radius=2.0
1777645200.413;1.012;1.687;8.693;1.254;1.200;0.300;circle;radius=2.0
1777645200.917;1.515;5.055;13.025;1.242;1.200;0.300;circle;radius=2.0
1777645201.422;2.020;9.991;17.365;1.231;1.200;0.300;circle;radius=2.0
1777645201.927;2.525;15.583;21.704;1.223;1.200;0.300;circle;radius=2.0
1777645202.432;3.030;20.725;26.044;1.218;1.200;0.300;circle;radius=2.0
1777645202.937;3.536;25.561;30.387;1.217;1.200;0.300;circle;radius=2.0
1777645203.445;4.044;30.024;34.753;1.221;1.200;0.300;circle;radius=2.0
1777645203.950;4.549;33.858;39.093;1.227;1.200;0.300;circle;radius=2.0
1777645204.457;5.055;37.920;43.449;1.235;1.200;0.300;circle;radius=2.0
1777645204.966;5.564;42.186;47.823;1.245;1.200;0.300;circle;radius=2.0
1777645205.472;6.070;46.729;52.170;1.255;1.200;0.300;circle;radius=2.0
1777645205.977;6.575;51.065;56.510;1.264;1.200;0.300;circle;radius=2.0
1777645206.483;7.081;55.449;60.861;1.272;1.200;0.300;circle;radius=2.0
1777645206.996;7.594;59.822;65.232;1.278;1.200;0.300;circle;radius=2.0
1777645207.507;8.105;64.079;69.660;1.282;1.200;0.300;circle;radius=2.0
1777645208.015;8.613;68.770;74.024;1.285;1.200;0.300;circle;radius=2.0
1777645208.540;9.138;73.442;78.520;1.287;1.200;0.300;circle;radius=2.0
1777645209.055;9.654;77.752;82.967;1.288;1.200;0.300;circle;radius=2.0
1777645209.561;10.159;82.376;87.310;1.288;1.200;0.300;circle;radius=2.0
1777645210.067;10.666;86.554;91.660;1.287;1.200;0.300;circle;radius=2.0
1777645210.571;11.169;90.881;95.990;1.286;1.200;0.300;circle;radius=2.0
1777645211.087;11.686;95.122;100.430;1.285;1.200;0.300;circle;radius=2.0
1777645211.591;12.189;99.739;104.757;1.285;1.200;0.300;circle;radius=2.0
1777645212.132;12.730;104.166;109.397;1.285;1.200;0.300;circle;radius=2.0
1777645212.645;13.244;108.401;113.820;1.285;1.200;0.300;circle;radius=2.0
1777645213.156;13.754;112.984;118.198;1.285;1.200;0.300;circle;radius=2.0
1777645213.663;14.262;117.462;122.569;1.285;1.200;0.300;circle;radius=2.0
1777645214.208;14.807;121.205;127.254;1.285;1.200;0.300;circle;radius=2.0
1777645214.717;15.315;125.481;131.611;1.283;1.200;0.300;circle;radius=2.0
1777645215.225;15.823;129.985;135.992;1.282;1.200;0.300;circle;radius=2.0
1777645215.739;16.337;134.005;140.406;1.279;1.200;0.300;circle;radius=2.0
1777645216.244;16.843;138.942;144.753;1.275;1.200;0.300;circle;radius=2.0
1777645216.750;17.348;143.434;149.097;1.270;1.200;0.300;circle;radius=2.0
1777645217.261;17.859;147.697;153.479;1.266;1.200;0.300;circle;radius=2.0
1777645217.771;18.369;151.962;157.872;1.261;1.200;0.300;circle;radius=2.0
1777645218.281;18.879;155.998;162.254;1.256;1.200;0.300;circle;radius=2.0
1777645218.787;19.385;160.457;166.604;1.251;1.200;0.300;circle;radius=2.0
1777645219.300;19.898;164.870;170.961;1.246;1.200;0.300;circle;radius=2.0
1777645219.805;20.403;169.457;175.352;1.242;1.200;0.300;circle;radius=2.0
1777645220.310;20.909;174.014;179.696;1.237;1.200;0.300;circle;radius=2.0
1777645220.816;21.414;178.218;-175.960;1.233;1.200;0.300;circle;radius=2.0
1777645221.327;21.925;-177.059;-171.567;1.228;1.200;0.300;circle;radius=2.0
1777645221.834;22.432;-172.676;-167.208;1.223;1.200;0.300;circle;radius=2.0
1777645222.340;22.938;-168.442;-162.859;1.219;1.200;0.300;circle;radius=2.0
1777645222.845;23.444;-164.066;-158.517;1.214;1.200;0.300;circle;radius=2.0
1777645223.357;23.955;-159.400;-154.119;1.209;1.200;0.300;circle;radius=2.0
1777645223.864;24.462;-155.055;-149.766;1.204;1.200;0.300;circle;radius=2.0
1777645224.369;24.967;-150.758;-145.426;1.199;1.200;0.300;circle;radius=2.0
1777645224.874;25.472;-146.332;-141.083;1.194;1.200;0.300;circle;radius=2.0
1777645225.386;25.985;-141.797;-136.689;1.188;1.200;0.300;circle;radius=2.0
1777645225.894;26.493;-137.380;-132.313;1.181;1.200;0.300;circle;radius=2.0
1777645226.400;26.998;-133.115;-127.966;1.174;1.200;0.300;circle;radius=2.0
1777645226.906;27.504;-128.740;-123.621;1.168;1.200;0.300;circle;radius=2.0
1777645227.456;28.054;-124.271;-118.893;1.162;1.200;0.300;circle;radius=2.0
1777645227.962;28.560;-120.245;-114.541;1.157;1.200;0.300;circle;radius=2.0
1777645228.472;29.070;-115.915;-110.162;1.153;1.200;0.300;circle;radius=2.0
1777645229.017;29.616;-111.931;-105.563;1.150;1.200;0.300;circle;radius=2.0
1777645229.559;30.157;-108.250;-100.820;1.147;1.200;0.300;circle;radius=2.0
1777645230.066;30.665;-103.251;-96.458;1.145;1.200;0.300;circle;radius=2.0
1777645230.575;31.173;-98.685;-92.089;1.144;1.200;0.300;circle;radius=2.0
1777645231.081;31.679;-93.256;-87.737;1.144;1.200;0.300;circle;radius=2.0
1777645231.586;32.184;-88.467;-83.398;1.144;1.200;0.300;circle;radius=2.0
1777645232.094;32.693;-83.823;-79.028;1.144;1.200;0.300;circle;radius=2.0
1777645232.603;33.201;-80.045;-74.655;1.144;1.200;0.300;circle;radius=2.0
1777645233.107;33.705;-75.742;-70.328;1.145;1.200;0.300;circle;radius=2.0
1777645233.612;34.211;-71.585;-65.981;1.146;1.200;0.300;circle;radius=2.0
1777645234.119;34.718;-67.325;-61.624;1.147;1.200;0.300;circle;radius=2.0
1777645234.636;35.234;-63.014;-57.187;1.149;1.200;0.300;circle;radius=2.0
1777645235.143;35.742;-58.713;-52.824;1.151;1.200;0.300;circle;radius=2.0
1777645235.648;36.246;-54.564;-48.487;1.153;1.200;0.300;circle;radius=2.0
1777645236.156;36.754;-50.299;-44.122;1.154;1.200;0.300;circle;radius=2.0
1777645236.666;37.264;-45.879;-39.737;1.155;1.200;0.300;circle;radius=2.0
1777645237.173;37.771;-41.561;-35.378;1.157;1.200;0.300;circle;radius=2.0
1777645237.678;38.277;-37.244;-31.038;1.160;1.200;0.300;circle;radius=2.0
1777645238.184;38.783;-32.601;-26.687;1.163;1.200;0.300;circle;radius=2.0
1777645238.692;39.290;-28.237;-22.323;1.167;1.200;0.300;circle;radius=2.0
1777645239.200;39.798;-23.555;-17.960;1.171;1.200;0.300;circle;radius=2.0
1777645239.705;40.303;-19.028;-13.617;1.176;1.200;0.300;circle;radius=2.0
1777645240.211;40.809;-14.575;-9.269;1.181;1.200;0.300;circle;radius=2.0
1777645240.719;41.318;-10.279;-4.902;1.186;1.200;0.300;circle;radius=2.0
1777645241.227;41.825;-6.714;-0.537;1.190;1.200;0.300;circle;radius=2.0
